"|","|__Codigo","|__Seccion","|__Profesores__001","|__Profesores__002","|__Profesores__003","|__Profesores__004","|__Profesores__005","|__Profesores__006","|__Profesores__007","|__Profesores__008","|__Profesores__009","|__Profesores__010","|__Profesores__011","|__Profesores__012"
"350","DR800B","1","Raul Moya H.","","","","","","","","","","",""
"351","ED740","1","Andrés Caba","Patricio Mena M.","","","","","","","","","",""
"352","ED741","1","Andrés Caba","Cesár Azurdia M.","","","","","","","","","",""
"353","ED742","1","Andrés Caba","Cesár Azurdia M.","","","","","","","","","",""
"354","ED743","1","Andrés Caba","Cesár Azurdia M.","","","","","","","","","",""
"355","ED744","1","Andrés Caba","Cesár Azurdia M.","","","","","","","","","",""
"356","ED785","1","Andrés Caba","Cesár Azurdia M.","","","","","","","","","",""
"357","ED786","1","Andrés Caba","Cesár Azurdia M.","","","","","","","","","",""
"358","EH2002","1","María Torres","","","","","","","","","","",""
"359","EH2103","1","Pablo Ramirez Rivas","","","","","","","","","","",""
"360","EH2108","1","Ricardo Loebell","","","","","","","","","","",""
"361","EH2202","1","Pablo Ramirez Rivas","","","","","","","","","","",""
"362","EH2203","1","Eduardo Rodríguez Y.","Sebastián Guerrero C.","","","","","","","","","",""
"363","EH2206","1","Roberto Campos Garro","","","","","","","","","","",""
"364","EH2308","1","Claudia Rodríguez Seeger","Pablo Ramirez Rivas","","","","","","","","","",""
"365","EH2309","1","Rodrigo Jiliberto H.","Vanessa Rugiero","","","","","","","","","",""
"366","EH2401","1","Andrés Monares R.","","","","","","","","","","",""
"367","EH2403","1","Andrés Monares R.","","","","","","","","","","",""
"368","EH2501","1","Alfredo Jocelyn-Holt","","","","","","","","","","",""
"369","EH2509","1","Andrea Rodríguez Silva","","","","","","","","","","",""
"370","EH2514","1","Fabián Bustamante Olguin","","","","","","","","","","",""
"371","EH2515","1","Carlos Contreras Painemal","","","","","","","","","","",""
"372","EH2516","1","Michael Reynolds N.","","","","","","","","","","",""
"373","EH2518","1","Cristián Ahumada","","","","","","","","","","",""
"374","EH2601","1","César Cuadra B.","","","","","","","","","","",""
"375","EH2605","1","Ximena Azua R.","","","","","","","","","","",""
"376","EH2609","1","Ximena Vergara","","","","","","","","","","",""
"377","EH2609","2","Ximena Vergara","","","","","","","","","","",""
"378","EIELE01","1","Álvaro Meza M.","","","","","","","","","","",""
"379","EIELE02","1","Jaime Rojas A.","","","","","","","","","","",""
"380","EE0001","1","","","","","","","","","","","",""
"381","EE0002","1","","","","","","","","","","","",""
"382","EI0001","1","","","","","","","","","","","",""
"383","EI0002","1","","","","","","","","","","","",""
"384","EI0003","1","","","","","","","","","","","",""
"385","EI0004","1","","","","","","","","","","","",""
"386","EI0005","1","","","","","","","","","","","",""
"387","EI0006","1","","","","","","","","","","","",""
